note;serial_number;retired;is_broken;owner;inventory_pool;building;room;properties_installation_status;model
TAA-RZ-BN1.net.zhdk.ch;FOC2643YGPU;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;installed;Catalyst 9500-24Q
TAA-RZ-BN2.net.zhdk.ch;FCW2238U091;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;installed;Catalyst 9500-24Q
SN-FJC280216K4.net.zhdk.ch;FJC280216K4;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9200CX-12P
SN-FJC280216XX.net.zhdk.ch;FJC280216XX;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9200CX-12P
SN-FJC280215WV.net.zhdk.ch;FJC280215WV;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9200CX-12P
SN-FJC280216GT.net.zhdk.ch;FJC280216GT;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9200CX-12P
SN-FJC280217GD.net.zhdk.ch;FJC280217GD;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9200CX-12P
SN-FJC2802199Y.net.zhdk.ch;FJC2802199Y;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9200CX-12P
SN-FJC2751119R.net.zhdk.ch;FJC2751119R;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9200CX-12P
SN-FJC2802172U.net.zhdk.ch;FJC2802172U;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9200CX-12P
SN-FJC28011082.net.zhdk.ch;FJC28011082;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9200CX-12P
